sample_idx,canary_exact,stage4_exact,canary_prefix3,stage4_prefix3,canary_first1,stage4_first1,canary_last1,stage4_last1,canary_top1_eq,stage4_top1_eq,canary_rank,stage4_rank
221,0,1,0,1,0,1,1,1,0,1,21,1
222,0,0,0,0,0,0,1,1,0,0,21,21
223,0,0,0,0,0,0,1,1,0,0,21,21
224,0,0,0,0,0,1,1,1,0,0,21,21
225,0,0,0,0,0,0,1,1,0,0,21,21
226,0,0,0,0,0,0,1,1,0,0,21,21
227,0,0,0,0,0,1,1,1,0,0,21,21
228,0,0,0,0,0,1,1,1,0,0,21,21
229,0,0,0,0,0,0,1,1,0,0,21,21
230,0,0,0,0,0,0,1,1,0,0,21,21
231,0,0,0,0,0,1,1,1,0,0,21,21
232,0,0,0,0,0,0,1,1,0,0,21,21
233,0,0,0,0,0,1,1,1,0,0,21,21
234,0,0,0,0,0,0,1,1,0,0,21,21
235,0,0,0,0,0,1,1,1,0,0,21,21
236,0,1,0,1,0,1,1,1,0,1,21,1
237,0,0,0,0,0,0,1,1,0,0,21,21
238,0,0,0,0,0,1,1,1,0,0,21,21
239,0,0,0,0,0,1,1,1,0,0,21,21
240,0,0,0,0,0,0,1,1,0,0,21,21
241,0,0,0,0,0,0,1,1,0,0,21,21
242,0,0,0,0,0,0,1,1,0,0,21,21
243,0,0,0,0,0,1,1,1,0,0,21,21
244,0,0,0,0,0,0,1,1,0,0,21,21
245,0,0,0,0,0,0,1,1,0,0,21,21
246,0,0,0,0,0,0,1,1,0,0,21,21
247,0,0,0,0,0,0,1,1,0,0,21,21
248,0,0,0,0,0,1,1,1,0,0,21,21
249,0,0,0,0,0,0,1,1,0,0,21,21
250,0,0,0,0,0,1,1,1,0,0,21,21
251,0,0,0,0,0,1,1,1,0,0,21,21
252,0,0,0,0,0,0,1,1,0,0,21,21
253,0,0,0,0,0,0,1,1,0,0,21,21
254,0,0,0,0,0,0,1,1,0,0,21,21
255,0,0,0,0,0,0,1,1,0,0,21,21
256,0,0,0,0,0,0,1,1,0,0,21,21
257,0,0,0,0,0,0,1,1,0,0,21,21
258,0,0,0,0,0,1,1,1,0,0,21,21
259,0,0,0,0,0,0,1,1,0,0,21,21
260,0,0,0,0,0,0,1,1,0,0,21,21
261,0,0,0,0,0,0,1,1,0,0,21,21
262,0,0,0,0,0,0,1,1,0,0,21,21
263,0,0,0,0,0,1,1,1,0,0,21,21
264,0,0,0,0,0,0,1,1,0,0,21,21
265,0,0,0,0,0,0,1,1,0,0,21,21
266,0,0,0,0,0,0,1,1,0,0,21,21
267,0,0,0,0,0,1,1,1,0,0,21,21
268,0,0,0,0,0,0,1,1,0,0,21,21
269,0,0,0,0,0,0,1,1,0,0,21,21
270,0,0,0,0,0,1,1,1,0,0,21,21
271,0,0,0,0,0,1,1,1,0,0,21,21
272,0,0,0,0,0,1,1,1,0,0,21,21
273,0,0,0,0,0,0,1,1,0,0,21,21
274,0,0,0,0,0,1,1,1,0,0,21,21
